         88098901 function calls (85082861 primitive calls) in 93.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    91598    0.075    0.000    0.162    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeconv\typeconv.py:40(check_compatible)
    44388    0.073    0.000    0.073    0.000 {method 'clear' of 'mgl.Framebuffer' objects}
    44388    0.073    0.000   20.833    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\GENESIM_LAB.py:113(render)
   163356    0.073    0.000    0.073    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\pygame\sprite.py:382(sprites)
    42193    0.071    0.000    5.542    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\surfaces.py:424(update)
    78290    0.070    0.000    0.469    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:404(end_event)
136317/128606    0.070    0.000    0.316    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:540(can_convert)
    44388    0.070    0.000   28.968    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\GENESIM_LAB.py:119(handle_events)
   103076    0.069    0.000    0.221    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:16(register)
    17052    0.068    0.000    0.190    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\utils.py:306(order_by_target_specificity)
 3496/189    0.068    0.000   16.118    0.085 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\compiler_machinery.py:267(_runPass)
    78290    0.066    0.000    0.367    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:390(start_event)
    81581    0.065    0.000    0.074    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:104(__init__)
   156580    0.065    0.000    0.134    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:100(__init__)
      826    0.065    0.000    0.065    0.000 {built-in method _pickle.loads}
        1    0.064    0.064   93.192   93.192 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\GENESIM_LAB.py:126(run)
   573024    0.064    0.000    0.116    0.000 {method 'get' of 'dict' objects}
     3650    0.063    0.000    0.063    0.000 {built-in method _winapi.ReadFile}
246037/229351    0.061    0.000    0.592    0.000 {built-in method builtins.next}
   312870    0.060    0.000    0.060    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:138(is_start)
      386    0.060    0.000    0.225    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\postproc.py:179(_patch_var_dels)
   956318    0.060    0.000    0.060    0.000 {method 'extend' of 'list' objects}
    99127    0.058    0.000    0.386    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:537(__init__)
      128    0.058    0.000    0.299    0.002 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:371(_find_singly_assigned_variable)
   121771    0.058    0.000    0.058    0.000 {method 'use' of 'mgl.Texture' objects}
    14092    0.056    0.000    0.270    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\targetconfig.py:200(<dictcomp>)
     1156    0.056    0.000    0.056    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   156435    0.053    0.000    0.066    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:265(on_start)
      131    0.053    0.000    0.107    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\interpreter.py:1917(op_UNPACK_SEQUENCE)
   585221    0.053    0.000    0.053    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:96(key)
     3840    0.052    0.000   21.096    0.005 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Meshes\chunk_mesh.py:16(__init__)
   160308    0.051    0.000    0.071    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:66(_guard_kind)
670973/641290    0.051    0.000    0.058    0.000 {built-in method builtins.len}
    44388    0.050    0.000   17.625    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\surfaces.py:130(render_current_scene)
     1533    0.050    0.000    0.050    0.000 {method 'write' of '_io.BytesIO' objects}
     2450    0.050    0.000    0.055    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\analysis.py:81(def_reach)
   628570    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
12831/12383    0.048    0.000    2.864    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:455(lower_inst)
    69589    0.046    0.000    0.502    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:83(__exit__)
     9160    0.046    0.000    0.710    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\npydecl.py:92(generic)
    10692    0.045    0.000    0.045    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:392(__setattr__)
    69589    0.045    0.000    0.406    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:77(__enter__)
    42993    0.043    0.000   16.875    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\surfaces.py:429(render)
81577/73238    0.043    0.000    0.159    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:141(__exit__)
57382/57004    0.043    0.000    0.300    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
   149720    0.042    0.000    1.013    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:354(list_vars)
   234939    0.042    0.000    0.069    0.000 {built-in method builtins.issubclass}
     2117    0.042    0.000    0.042    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
   162170    0.042    0.000    0.042    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:296(depth_mask)
       24    0.041    0.002    0.041    0.002 {method 'acquire' of '_thread.lock' objects}
    52358    0.040    0.000    0.115    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\weakref.py:414(__getitem__)
     6836    0.040    0.000    0.045    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:264(goto_block)
     1120    0.040    0.000    0.040    0.000 {built-in method nt.stat}
   121771    0.040    0.000    0.129    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:87(write)
    42193    0.040    0.000    0.068    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\player.py:34(mouse_control)
   409581    0.039    0.000    0.039    0.000 {method 'keys' of 'dict' objects}
26996/26948    0.039    0.000    0.078    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:148(as_dtype)
   121771    0.039    0.000    0.097    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:851(use)
158935/158006    0.039    0.000    0.194    0.000 {method 'join' of 'str' objects}
343032/284658    0.039    0.000    0.070    0.000 {built-in method builtins.hash}
    71551    0.039    0.000    0.064    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:564(_get_reference)
     9160    0.039    0.000    0.095    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\npydecl.py:25(_handle_inputs)
    84386    0.039    0.000    0.039    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   468648    0.038    0.000    0.038    0.000 {method 'values' of 'dict' objects}
    81581    0.037    0.000    0.111    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:287(helper)
   121771    0.037    0.000    0.158    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\sprite.py:55(get_texture)
    35243    0.037    0.000    0.050    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\sprite.py:319(update)
     2936    0.037    0.000    1.289    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\world.py:126(update_active_regions)
   290511    0.036    0.000    0.036    0.000 {method 'startswith' of 'str' objects}
     1801    0.036    0.000    0.046    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\analysis.py:91(liveness)
     2118    0.036    0.000    0.036    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\world.py:285(get_init_regions)
     5650    0.036    0.000    0.130    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:402(<listcomp>)
83894/82466    0.035    0.000    0.142    0.000 {built-in method builtins.any}
     6372    0.035    0.000    0.102    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:68(__init__)
32602/31431    0.035    0.000    2.877    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\templates.py:356(apply)
     7688    0.035    0.000    0.035    0.000 {method 'vertex_array' of 'mgl.Context' objects}
   210965    0.034    0.000    0.034    0.000 {built-in method pyglm.glm.cos}
    24128    0.034    0.000    0.054    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\functions.py:78(add_error)
    26766    0.034    0.000    0.044    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\events.py:163(search_non_sprite_event)
     3650    0.034    0.000    0.034    0.000 {built-in method _winapi.PeekNamedPipe}
    67241    0.033    0.000    0.040    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:351(_insert)
90231/90156    0.033    0.000    0.034    0.000 {built-in method __new__ of type object at 0x00007FFE41398F90}
    50392    0.033    0.000    0.182    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ssa.py:206(_run_ssa_block_pass)
