         505787 function calls in 23.409 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\_moderngl.py:319(make_uniform)
        3    0.000    0.000    0.000    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\moderngl\__init__.py:1647(<listcomp>)
        3    0.000    0.000    0.000    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\_moderngl.py:29(__init__)
        6    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        9    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\moderngl\__init__.py:239(depth_mask)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mouse.set_pos}
        1    0.000    0.000    0.000    0.000 {built-in method glm.perspective}
        2    0.000    0.000    0.000    0.000 {built-in method glm.radians}
        1    0.000    0.000    0.000    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\moderngl\__init__.py:345(is_transform)
        3    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


