         9884692 function calls (9347579 primitive calls) in 7.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.012    0.001    0.012    0.001 {method 'texture' of 'mgl.Context' objects}
    63188    0.012    0.000    0.012    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:138(is_start)
    23565    0.012    0.000    0.020    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:564(_get_reference)
    24566    0.012    0.000    0.015    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:240(fixup)
     2330    0.012    0.000    0.166    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\npydecl.py:97(generic)
    23624    0.011    0.000    0.014    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:351(_insert)
3254/3208    0.011    0.000    0.879    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:457(lower_inst)
    14687    0.011    0.000    0.034    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\weakref.py:414(__getitem__)
     1401    0.011    0.000    0.039    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:404(<listcomp>)
   572/26    0.011    0.000    4.185    0.161 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
    31594    0.011    0.000    0.013    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:265(on_start)
    29404    0.011    0.000    0.020    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1141(render)
     6958    0.011    0.000    0.021    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:125(as_dtype)
    32956    0.011    0.000    0.015    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:66(_guard_kind)
20360/20223    0.010    0.000    0.046    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:517(can_convert)
      164    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
19778/17412    0.010    0.000    0.039    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:141(__exit__)
6234/2997    0.010    0.000    0.069    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\runtime\context.py:343(get_meminfos)
    88702    0.010    0.000    0.010    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:95(__lt__)
    26590    0.010    0.000    0.019    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\utils.py:497(stream_list)
    27795    0.010    0.000    0.018    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\_moderngl.py:94(write)
    61727    0.010    0.000    0.010    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:13(is_used)
    29404    0.009    0.000    0.009    0.000 {method 'render' of 'mgl.VertexArray' objects}
    74319    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
9581/9566    0.009    0.000    0.541    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\templates.py:349(apply)
    35790    0.009    0.000    0.239    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:350(list_vars)
      441    0.009    0.000    0.010    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\analysis.py:81(def_reach)
    19778    0.009    0.000    0.027    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:287(helper)
    14039    0.009    0.000    0.099    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:76(__exit__)
     2575    0.009    0.000    0.015    0.000 <frozen ntpath>:208(split)
21397/21119    0.009    0.000    0.035    0.000 {built-in method builtins.any}
     1581    0.009    0.000    0.025    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:68(__init__)
     6366    0.009    0.000    0.055    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:967(extract_value)
    27648    0.009    0.000    0.027    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\base_mesh.py:43(render)
     6378    0.009    0.000    0.014    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\functions.py:78(add_error)
59809/58603    0.009    0.000    0.022    0.000 {built-in method builtins.repr}
    14039    0.009    0.000    0.081    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:70(__enter__)
     6366    0.008    0.000    0.041    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:666(__init__)
      144    0.008    0.000    0.087    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\world.py:46(render)
     2330    0.008    0.000    0.023    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\npydecl.py:25(_handle_inputs)
    27795    0.008    0.000    0.008    0.000 {method '_write_uniform' of 'mgl.Context' objects}
58189/45555    0.008    0.000    0.016    0.000 {built-in method builtins.hash}
 1513/685    0.008    0.000    3.215    0.005 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeinfer.py:580(resolve)
    80984    0.008    0.000    0.008    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:96(key)
14119/10374    0.008    0.000    0.023    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:238(__eq__)
     6366    0.008    0.000    0.016    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:681(descr)
20775/20605    0.008    0.000    0.015    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\misc.py:52(unliteral)
9550/9502    0.008    0.000    0.015    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:445(__init__)
    13343    0.008    0.000    0.011    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeinfer.py:911(__getitem__)
65132/64925    0.007    0.000    0.019    0.000 {built-in method builtins.hasattr}
19778/17405    0.007    0.000    0.131    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
    54044    0.007    0.000    0.016    0.000 {built-in method builtins.issubclass}
    25144    0.007    0.000    0.149    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:598(list_vars)
     1756    0.007    0.000    0.052    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\scene\sprite.py:63(render)
     3008    0.007    0.000    0.020    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:287(find_matching_getattr_template)
    14342    0.007    0.000    0.010    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\errors.py:812(new_error_context)
      418    0.007    0.000    0.009    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\analysis.py:91(liveness)
    30779    0.007    0.000    0.030    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\templates.py:1303(new_registrations)
     4588    0.007    0.000    0.017    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:387(choose_types)
23397/20528    0.007    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
    75760    0.007    0.000    0.007    0.000 {method 'add' of 'set' objects}
    29509    0.007    0.000    0.011    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1467(debug)
      820    0.007    0.000    0.019    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2333(_signature_from_function)
    87/83    0.006    0.000    0.903    0.011 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:275(lower_block)
